"Código","Municipio","Nivel Educativo","Cantidad de Personas"
1415,"San Miguel Uspantán","Primaria, 4-5",5630
1415,"San Miguel Uspantán","Primaria, 6",8232
1415,"San Miguel Uspantán","Basico",5352
1415,"San Miguel Uspantán","Diversificado",3343
1415,"San Miguel Uspantán","Licenciatura",613
1415,"San Miguel Uspantán","Maestria y doctorado",48
1416,"Sacapulas","Ninguno",16745
1416,"Sacapulas","Preprimaria",1349
1416,"Sacapulas","Primaria, 1-3",10499
1416,"Sacapulas","Primaria, 4-5",5177
1416,"Sacapulas","Primaria, 6",7175
1416,"Sacapulas","Basico",2801
1416,"Sacapulas","Diversificado",3106
1416,"Sacapulas","Licenciatura",403
1416,"Sacapulas","Maestria y doctorado",47
1417,"San Bartolomé Jocotenango","Ninguno",4824
1417,"San Bartolomé Jocotenango","Preprimaria",441
1417,"San Bartolomé Jocotenango","Primaria, 1-3",3076
1417,"San Bartolomé Jocotenango","Primaria, 4-5",1312
1417,"San Bartolomé Jocotenango","Primaria, 6",1634
1417,"San Bartolomé Jocotenango","Basico",519
1417,"San Bartolomé Jocotenango","Diversificado",211
1417,"San Bartolomé Jocotenango","Licenciatura",16
1417,"San Bartolomé Jocotenango","Maestria y doctorado",0
1418,"Canillá","Ninguno",3700
1418,"Canillá","Preprimaria",373
1418,"Canillá","Primaria, 1-3",2329
1418,"Canillá","Primaria, 4-5",1061
1418,"Canillá","Primaria, 6",1699
1418,"Canillá","Basico",905
1418,"Canillá","Diversificado",740
1418,"Canillá","Licenciatura",86
1418,"Canillá","Maestria y doctorado",62
1419,"Chicamán","Ninguno",12049
1419,"Chicamán","Preprimaria",2236
1419,"Chicamán","Primaria, 1-3",7130
1419,"Chicamán","Primaria, 4-5",3533
1419,"Chicamán","Primaria, 6",4701
1419,"Chicamán","Basico",3182
1419,"Chicamán","Diversificado",1867
1419,"Chicamán","Licenciatura",364
1419,"Chicamán","Maestria y doctorado",21
1420,"Playa Grande Ixcán","Ninguno",23069
1420,"Playa Grande Ixcán","Preprimaria",4634
1420,"Playa Grande Ixcán","Primaria, 1-3",18742
1420,"Playa Grande Ixcán","Primaria, 4-5",9431
