"Código","Municipio","Total de personas","Lugar de Nacimiento","Personas","Porcentaje de la Poblacion"
201,"Guastatoya",24821,"En otro paÍs",189,0.76
202,"Morazán",12164,"En otro paÍs",33,0.27
203,"San Agustín Acasaguastlán",45765,"En otro paÍs",101,0.22
204,"San Cristóbal Acasaguastlán",7199,"En otro paÍs",26,0.36
205,"El Jícaro",13128,"En otro paÍs",28,0.21
206,"Sansare",13154,"En otro paÍs",23,0.17
207,"Sanarate",39444,"En otro paÍs",164,0.42
208,"San Antonio la Paz",20957,"En otro paÍs",64,0.31
301,"Antigua Guatemala",46054,"En otro paÍs",681,1.48
302,"Jocotenango",21657,"En otro paÍs",164,0.76
303,"Pastores",17814,"En otro paÍs",62,0.35
304,"Sumpango",37260,"En otro paÍs",66,0.18
305,"Santo Domingo Xenacoj",12402,"En otro paÍs",28,0.23
306,"Santiago Sacatepéquez",29238,"En otro paÍs",121,0.41
307,"San Bartolomé Milpas Altas",7816,"En otro paÍs",71,0.91
308,"San Lucas Sacatepéquez",23369,"En otro paÍs",350,1.5
309,"Santa Lucía Milpas Altas",15570,"En otro paÍs",173,1.11
310,"Magdalena Milpas Altas",11856,"En otro paÍs",17,0.14
311,"Santa María de Jesús",21938,"En otro paÍs",8,0.04
312,"Ciudad Vieja",33405,"En otro paÍs",120,0.36
313,"San Miguel Dueñas",12696,"En otro paÍs",69,0.54
314,"San Juan Alotenango",23986,"En otro paÍs",47,0.2
315,"San Antonio Aguas Calientes",11347,"En otro paÍs",53,0.47
316,"Santa Catarina Barahona",4061,"En otro paÍs",19,0.47
401,"Chimaltenango",96985,"En otro paÍs",461,0.48
402,"San José Poaquil",26845,"En otro paÍs",9,0.03
403,"San Martín Jilotepeque",73469,"En otro paÍs",61,0.08
404,"San Juan Comalapa",48597,"En otro paÍs",31,0.06
405,"Santa Apolonia",18540,"En otro paÍs",4,0.02
406,"Tecpán Guatemala",91927,"En otro paÍs",114,0.12
407,"Patzún",58240,"En otro paÍs",59,0.1
408,"San Miguel Pochuta",8790,"En otro paÍs",9,0.1
409,"Patzicía",33207,"En otro paÍs",42,0.13
410,"Santa Cruz Balanyá",9479,"En otro paÍs",3,0.03
411,"Acatenango",23228,"En otro paÍs",15,0.06
