"Código","Municipio","Total de personas","Zona","Cantidad de Personas","Porcentaje de Poblacion"
503,"La Democracia",23017,"Rural",9617,41.78
504,"Siquinalá",22968,"Urbano",18150,79.02
504,"Siquinalá",22968,"Rural",4818,20.98
505,"Masagua",45323,"Urbano",16797,37.06
505,"Masagua",45323,"Rural",28526,62.94
506,"Tiquisate",57292,"Urbano",29193,50.95
506,"Tiquisate",57292,"Rural",28099,49.05
507,"La Gomera",46666,"Urbano",26533,56.86
507,"La Gomera",46666,"Rural",20133,43.14
508,"Guanagazapa",15958,"Urbano",3738,23.42
508,"Guanagazapa",15958,"Rural",12220,76.58
509,"San José",62801,"Urbano",23887,38.04
509,"San José",62801,"Rural",38914,61.96
510,"Iztapa",18342,"Urbano",4900,26.71
510,"Iztapa",18342,"Rural",13442,73.29
511,"Palín",65873,"Urbano",62095,94.26
511,"Palín",65873,"Rural",3778,5.74
512,"San Vicente Pacaya",16705,"Urbano",8942,53.53
512,"San Vicente Pacaya",16705,"Rural",7763,46.47
513,"Nueva Concepción",72909,"Urbano",15747,21.6
513,"Nueva Concepción",72909,"Rural",57162,78.4
514,"Sipacate",16234,"Urbano",9959,61.35
514,"Sipacate",16234,"Rural",6275,38.65
601,"Cuilapa",41359,"Urbano",41359,100
601,"Cuilapa",41359,"Rural",0,0
602,"Barberena",58276,"Urbano",47093,80.81
602,"Barberena",58276,"Rural",11183,19.19
603,"Santa Rosa de Lima",19702,"Urbano",3596,18.25
603,"Santa Rosa de Lima",19702,"Rural",16106,81.75
604,"Casillas",24956,"Urbano",7698,30.85
604,"Casillas",24956,"Rural",17258,69.15
605,"San Rafael las Flores",12641,"Urbano",3610,28.56
605,"San Rafael las Flores",12641,"Rural",9031,71.44
606,"Oratorio",24954,"Urbano",10068,40.35
606,"Oratorio",24954,"Rural",14886,59.65
607,"San Juan Tecuaco",10122,"Urbano",2966,29.3
607,"San Juan Tecuaco",10122,"Rural",7156,70.7
608,"Chiquimulilla",53727,"Urbano",18848,35.08
608,"Chiquimulilla",53727,"Rural",34879,64.92
609,"Taxisco",29846,"Urbano",9130,30.59
609,"Taxisco",29846,"Rural",20716,69.41
610,"Santa María Ixhuatán",23801,"Urbano",4619,19.41
610,"Santa María Ixhuatán",23801,"Rural",19182,80.59
611,"Guazacapán",18855,"Urbano",12195,64.68
611,"Guazacapán",18855,"Rural",6660,35.32
612,"Santa Cruz Naranjo",16385,"Urbano",5768,35.2
612,"Santa Cruz Naranjo",16385,"Rural",10617,64.8
613,"Pueblo Nuevo Viñas",25529,"Urbano",3727,14.6
613,"Pueblo Nuevo Viñas",25529,"Rural",21802,85.4
614,"Nueva Santa Rosa",36454,"Urbano",13535,37.13
614,"Nueva Santa Rosa",36454,"Rural",22919,62.87
701,"Sololá",88612,"Urbano",88612,100
701,"Sololá",88612,"Rural",0,0
702,"San José Chacayá",4068,"Urbano",1013,24.9
702,"San José Chacayá",4068,"Rural",3055,75.1
703,"Santa María Visitación",2370,"Urbano",1579,66.62
703,"Santa María Visitación",2370,"Rural",791,33.38
704,"Santa Lucía Utatlán",21284,"Urbano",1356,6.37
704,"Santa Lucía Utatlán",21284,"Rural",19928,93.63
705,"Nahualá",75430,"Urbano",23635,31.33
705,"Nahualá",75430,"Rural",51795,68.67
706,"Santa Catarina Ixtahuacán",56981,"Urbano",19560,34.33
706,"Santa Catarina Ixtahuacán",56981,"Rural",37421,65.67
707,"Santa Clara la Laguna",9405,"Urbano",6707,71.31
707,"Santa Clara la Laguna",9405,"Rural",2698,28.69
708,"Concepción",6601,"Urbano",4024,60.96
708,"Concepción",6601,"Rural",2577,39.04
