"Código","Municipio","Total de personas","Genero","Cantidad"
1101,"Retalhuleu",90505,"Mujer",46643
1102,"San Sebastián",29167,"Hombre",14155
1102,"San Sebastián",29167,"Mujer",15012
1103,"Santa Cruz Muluá",13545,"Hombre",6714
1103,"Santa Cruz Muluá",13545,"Mujer",6831
1104,"San Martín Zapotitlán",12083,"Hombre",6017
1104,"San Martín Zapotitlán",12083,"Mujer",6066
1105,"San Felipe",24446,"Hombre",11820
1105,"San Felipe",24446,"Mujer",12626
1106,"San Andrés Villa Seca",47820,"Hombre",23764
1106,"San Andrés Villa Seca",47820,"Mujer",24056
1107,"Champerico",32815,"Hombre",16119
1107,"Champerico",32815,"Mujer",16696
1108,"Nuevo San Carlos",39565,"Hombre",19453
1108,"Nuevo San Carlos",39565,"Mujer",20112
1109,"El Asintal",36882,"Hombre",17841
1109,"El Asintal",36882,"Mujer",19041
1201,"San Marcos",47063,"Hombre",22256
1201,"San Marcos",47063,"Mujer",24807
1202,"San Pedro Sacatepéquez",79158,"Hombre",37710
1202,"San Pedro Sacatepéquez",79158,"Mujer",41448
1203,"San Antonio Sacatepéquez",19100,"Hombre",9102
1203,"San Antonio Sacatepéquez",19100,"Mujer",9998
1204,"Comitancillo",59489,"Hombre",28760
1204,"Comitancillo",59489,"Mujer",30729
1205,"San Miguel Ixtahuacán",47301,"Hombre",23014
1205,"San Miguel Ixtahuacán",47301,"Mujer",24287
1206,"Concepción Tutuapa",68148,"Hombre",32557
1206,"Concepción Tutuapa",68148,"Mujer",35591
1207,"Tacaná",75788,"Hombre",37423
1207,"Tacaná",75788,"Mujer",38365
1208,"Sibinal",15733,"Hombre",7849
1208,"Sibinal",15733,"Mujer",7884
1209,"Tajumulco",50907,"Hombre",24262
1209,"Tajumulco",50907,"Mujer",26645
1210,"Tejutla",38669,"Hombre",18810
1210,"Tejutla",38669,"Mujer",19859
1211,"San Rafael Pie de la Cuesta",17139,"Hombre",8376
1211,"San Rafael Pie de la Cuesta",17139,"Mujer",8763
1212,"Nuevo Progreso",30067,"Hombre",14806
1212,"Nuevo Progreso",30067,"Mujer",15261
1213,"El Tumbador",44395,"Hombre",22073
1213,"El Tumbador",44395,"Mujer",22322
1214,"San José el Rodeo",17881,"Hombre",8884
1214,"San José el Rodeo",17881,"Mujer",8997
1215,"Malacatán",92816,"Hombre",45371
1215,"Malacatán",92816,"Mujer",47445
1216,"Catarina",30014,"Hombre",14783
1216,"Catarina",30014,"Mujer",15231
1217,"Ayutla",37049,"Hombre",17992
1217,"Ayutla",37049,"Mujer",19057
1218,"Ocós",10841,"Hombre",5338
1218,"Ocós",10841,"Mujer",5503
1219,"San Pablo",48937,"Hombre",23541
1219,"San Pablo",48937,"Mujer",25396
1220,"El Quetzal",23511,"Hombre",11544
1220,"El Quetzal",23511,"Mujer",11967
1221,"La Reforma",17918,"Hombre",8832
1221,"La Reforma",17918,"Mujer",9086
1222,"Pajapita",21725,"Hombre",10578
1222,"Pajapita",21725,"Mujer",11147
1223,"Ixchiguán",22375,"Hombre",10544
1223,"Ixchiguán",22375,"Mujer",11831
1224,"San José Ojetenam",19009,"Hombre",9388
1224,"San José Ojetenam",19009,"Mujer",9621
1225,"San Cristóbal Cucho",16619,"Hombre",7949
1225,"San Cristóbal Cucho",16619,"Mujer",8670
1226,"Sipacapa",20178,"Hombre",9839
1226,"Sipacapa",20178,"Mujer",10339
1227,"Esquipulas Palo Gordo",12892,"Hombre",6217
1227,"Esquipulas Palo Gordo",12892,"Mujer",6675
1228,"Río Blanco",5318,"Hombre",2499
1228,"Río Blanco",5318,"Mujer",2819
1229,"San Lorenzo",13125,"Hombre",6340
1229,"San Lorenzo",13125,"Mujer",6785
1230,"La Blanca",29112,"Hombre",14505
1230,"La Blanca",29112,"Mujer",14607
1301,"Huehuetenango",117818,"Hombre",55751
1301,"Huehuetenango",117818,"Mujer",62067
1302,"Chiantla",87447,"Hombre",42163
1302,"Chiantla",87447,"Mujer",45284
1303,"Malacatancito",19155,"Hombre",9321
1303,"Malacatancito",19155,"Mujer",9834
1304,"Cuilco",60395,"Hombre",28434
1304,"Cuilco",60395,"Mujer",31961
1305,"Nentón",45679,"Hombre",22308
1305,"Nentón",45679,"Mujer",23371
1306,"San Pedro Necta",38510,"Hombre",18651
1306,"San Pedro Necta",38510,"Mujer",19859
1307,"Jacaltenango",37171,"Hombre",17364
1307,"Jacaltenango",37171,"Mujer",19807
1308,"San Pedro Soloma",49030,"Hombre",21982
1308,"San Pedro Soloma",49030,"Mujer",27048
1309,"San Ildefonso Ixtahuacán",44424,"Hombre",21484
1309,"San Ildefonso Ixtahuacán",44424,"Mujer",22940
1310,"Santa Bárbara",33608,"Hombre",15960
1310,"Santa Bárbara",33608,"Mujer",17648
1311,"La Libertad",38234,"Hombre",18401
1311,"La Libertad",38234,"Mujer",19833
1312,"La Democracia",55434,"Hombre",26658
1312,"La Democracia",55434,"Mujer",28776
1313,"San Miguel Acatán",27128,"Hombre",12892
1313,"San Miguel Acatán",27128,"Mujer",14236
1314,"San Rafael La Independencia",14149,"Hombre",6728
1314,"San Rafael La Independencia",14149,"Mujer",7421
1315,"Todos Santos Cuchumatán",30186,"Hombre",14064
1315,"Todos Santos Cuchumatán",30186,"Mujer",16122
1316,"San Juan Atitán",19418,"Hombre",8892
1316,"San Juan Atitán",19418,"Mujer",10526
1317,"Santa Eulalia",39025,"Hombre",18545
1317,"Santa Eulalia",39025,"Mujer",20480
1318,"San Mateo Ixtatán",43810,"Hombre",20930
1318,"San Mateo Ixtatán",43810,"Mujer",22880
1319,"Colotenango",34834,"Hombre",16588
1319,"Colotenango",34834,"Mujer",18246
1320,"San Sebastián Huehuetenango",32608,"Hombre",15638
1320,"San Sebastián Huehuetenango",32608,"Mujer",16970
1321,"Tectitán",10830,"Hombre",5296
1321,"Tectitán",10830,"Mujer",5534
1322,"Concepción Huista",18915,"Hombre",8809
1322,"Concepción Huista",18915,"Mujer",10106
1323,"San Juan Ixcoy",23204,"Hombre",10827
1323,"San Juan Ixcoy",23204,"Mujer",12377
1324,"San Antonio Huista",16697,"Hombre",8116
1324,"San Antonio Huista",16697,"Mujer",8581
1325,"San Sebastián Coatán",20905,"Hombre",9956
1325,"San Sebastián Coatán",20905,"Mujer",10949
1326,"Santa Cruz Barillas",100849,"Hombre",49736
1326,"Santa Cruz Barillas",100849,"Mujer",51113
1327,"Aguacatán",49607,"Hombre",22542
1327,"Aguacatán",49607,"Mujer",27065
1328,"San Rafael Petzal",11271,"Hombre",5454
1328,"San Rafael Petzal",11271,"Mujer",5817
1329,"San Gaspar Ixchil",8142,"Hombre",3846
1329,"San Gaspar Ixchil",8142,"Mujer",4296
1330,"Santiago Chimaltenango",10507,"Hombre",4881
1330,"Santiago Chimaltenango",10507,"Mujer",5626
1331,"Santa Ana Huista",9413,"Hombre",4586
1331,"Santa Ana Huista",9413,"Mujer",4827
1332,"Unión Cantinil",15900,"Hombre",7343
1332,"Unión Cantinil",15900,"Mujer",8557
1333,"Petatán",6366,"Hombre",2940
1333,"Petatán",6366,"Mujer",3426
1401,"Santa Cruz del Quiché",78279,"Hombre",37168
1401,"Santa Cruz del Quiché",78279,"Mujer",41111
1402,"Chiché",29646,"Hombre",14319
1402,"Chiché",29646,"Mujer",15327
1403,"Chinique",11382,"Hombre",5455
1403,"Chinique",11382,"Mujer",5927
1404,"Zacualpa",32750,"Hombre",15499
1404,"Zacualpa",32750,"Mujer",17251
1405,"Chajul",46658,"Hombre",22650
1405,"Chajul",46658,"Mujer",24008
1406,"Santo Tomás Chichicastenango",141567,"Hombre",67187
1406,"Santo Tomás Chichicastenango",141567,"Mujer",74380
1407,"Patzité",6144,"Hombre",2884
1407,"Patzité",6144,"Mujer",3260
1408,"San Antonio Ilotenango",25590,"Hombre",12030
1408,"San Antonio Ilotenango",25590,"Mujer",13560
1409,"San Pedro Jocopilas",31950,"Hombre",15447
1409,"San Pedro Jocopilas",31950,"Mujer",16503
1410,"Cunén",41455,"Hombre",20111
1410,"Cunén",41455,"Mujer",21344
1411,"San Juan Cotzal",31532,"Hombre",15327
1411,"San Juan Cotzal",31532,"Mujer",16205
1412,"Joyabaj",82369,"Hombre",37751
1412,"Joyabaj",82369,"Mujer",44618
1413,"Santa María Nebaj",72686,"Hombre",33997
1413,"Santa María Nebaj",72686,"Mujer",38689
1414,"San Andrés Sajcabajá",24981,"Hombre",11762
1414,"San Andrés Sajcabajá",24981,"Mujer",13219
1415,"San Miguel Uspantán",65872,"Hombre",32548
1415,"San Miguel Uspantán",65872,"Mujer",33324
1416,"Sacapulas",52620,"Hombre",25332
1416,"Sacapulas",52620,"Mujer",27288
1417,"San Bartolomé Jocotenango",13568,"Hombre",6608
1417,"San Bartolomé Jocotenango",13568,"Mujer",6960
1418,"Canillá",12172,"Hombre",5802
1418,"Canillá",12172,"Mujer",6370
1419,"Chicamán",39731,"Hombre",19403
1419,"Chicamán",39731,"Mujer",20328
1420,"Playa Grande Ixcán",99470,"Hombre",49845
1420,"Playa Grande Ixcán",99470,"Mujer",49625
1421,"Pachalum",8839,"Hombre",4222
1421,"Pachalum",8839,"Mujer",4617
1501,"Salamá",65275,"Hombre",31246
1501,"Salamá",65275,"Mujer",34029
1502,"San Miguel Chicaj",33121,"Hombre",15933
1502,"San Miguel Chicaj",33121,"Mujer",17188
1503,"Rabinal",40797,"Hombre",19591
1503,"Rabinal",40797,"Mujer",21206
1504,"Cubulco",54869,"Hombre",26436
1504,"Cubulco",54869,"Mujer",28433
1505,"Granados",13595,"Hombre",6584
1505,"Granados",13595,"Mujer",7011
1506,"Santa Cruz El Chol",9538,"Hombre",4490
1506,"Santa Cruz El Chol",9538,"Mujer",5048
1507,"San Jerónimo",25459,"Hombre",12395
1507,"San Jerónimo",25459,"Mujer",13064
1508,"Purulhá",56822,"Hombre",28250
1508,"Purulhá",56822,"Mujer",28572
1601,"Cobán",212421,"Hombre",103927
1601,"Cobán",212421,"Mujer",108494
1602,"Santa Cruz Verapaz",32042,"Hombre",15722
1602,"Santa Cruz Verapaz",32042,"Mujer",16320
1603,"San Cristóbal Verapaz",68819,"Hombre",34072
1603,"San Cristóbal Verapaz",68819,"Mujer",34747
1604,"Tactic",38052,"Hombre",18331
1604,"Tactic",38052,"Mujer",19721
1605,"Tamahú",19984,"Hombre",9930
1605,"Tamahú",19984,"Mujer",10054
1606,"San Miguel Tucurú",43473,"Hombre",21736
1606,"San Miguel Tucurú",43473,"Mujer",21737
1607,"Panzós",71846,"Hombre",36243
1607,"Panzós",71846,"Mujer",35603
1608,"Senahú",91974,"Hombre",46017
1608,"Senahú",91974,"Mujer",45957
1609,"San Pedro Carchá",235275,"Hombre",116267
1609,"San Pedro Carchá",235275,"Mujer",119008
1610,"San Juan Chamelco",57456,"Hombre",28048
1610,"San Juan Chamelco",57456,"Mujer",29408
1611,"San Agustín Lanquín",24099,"Hombre",12172
1611,"San Agustín Lanquín",24099,"Mujer",11927
1612,"Santa María Cahabón",64911,"Hombre",32516
1612,"Santa María Cahabón",64911,"Mujer",32395
1613,"Chisec",84553,"Hombre",43042
1613,"Chisec",84553,"Mujer",41511
1614,"Chahal",26644,"Hombre",13270
1614,"Chahal",26644,"Mujer",13374
1615,"Fray Bartolomé de las Casas",66141,"Hombre",32975
1615,"Fray Bartolomé de las Casas",66141,"Mujer",33166
1616,"Santa Catalina La Tinta",40516,"Hombre",20135
1616,"Santa Catalina La Tinta",40516,"Mujer",20381
1617,"Raxruhá",36832,"Hombre",18475
1617,"Raxruhá",36832,"Mujer",18357
1701,"Flores",38186,"Hombre",18823
1701,"Flores",38186,"Mujer",19363
1702,"San José",6989,"Hombre",3570
1702,"San José",6989,"Mujer",3419
1703,"San Benito",43841,"Hombre",21357
1703,"San Benito",43841,"Mujer",22484
1704,"San Andrés",32878,"Hombre",16934
1704,"San Andrés",32878,"Mujer",15944
1705,"La Libertad",71939,"Hombre",36495
1705,"La Libertad",71939,"Mujer",35444
1706,"San Francisco",15371,"Hombre",7718
1706,"San Francisco",15371,"Mujer",7653
1707,"Santa Ana",21970,"Hombre",10879
1707,"Santa Ana",21970,"Mujer",11091
1708,"Dolores",26920,"Hombre",13416
1708,"Dolores",26920,"Mujer",13504
1709,"San Luis",67038,"Hombre",33303
1709,"San Luis",67038,"Mujer",33735
1710,"Sayaxché",93414,"Hombre",47076
1710,"Sayaxché",93414,"Mujer",46338
1711,"Melchor de Mencos",28238,"Hombre",14137
